A,word,letter,reading,stated,r_exact,lambda2,inf_exact,inf,sup_exact,sup,verdict,literal_note,certificate,notes,bruteforce,data_ok,ndata
A284930,"0->01, 1->1011; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",0,a(n) = position of n-th 0 in A284929 (1-based),"1 < n*r - a(n) < 4, R = 2 + sqrt(2)",2+sqrt(2),0.585786437627,sqrt(2),1.4142135623730950488016887242096981,2+sqrt(2),3.4142135623730950488016887242096981,PROVED,,,,"first 8786797 terms: min 1.415566027451 (n=4283009), max 3.413257225144 (n=3028545)",True,58
A284931,"0->01, 1->1011; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",1,a(n) = position of n-th 1 in A284929 (1-based),"-1 < n*sqrt(2) - a(n) < 1, R = sqrt(2)",sqrt(2),0.585786437627,-1,-1.0,-1+sqrt(2),0.41421356237309504880168872420969808,"BOUNDARY (holds; inf = lower bound, never attained)",,,,"first 21213203 terms: min -0.99960387214 (n=7311552), max 0.413653352994 (n=10340097)",True,66
A284941,"0->01, 1->1101; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",1,a(n) = position of n-th 1 in A284939 (1-based),"-1 < n*sqrt(2) - a(n) < 2, R = sqrt(2)",sqrt(2),0.585786437627,-2+sqrt(2),-0.58578643762690495119831127579030192,sqrt(2),1.4142135623730950488016887242096981,PROVED,,,,"first 21213204 terms: min -0.58578643762 (n=1), max 1.413093143616 (n=20680193)",True,66
A284945,"0->01, 1->1110; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",0,a(n) = position of n-th 0 in A284944 (1-based),"-4 < n*r - a(n) < 3, R = 2 + sqrt(2)",2+sqrt(2),0.585786437627,-2-sqrt(2),-3.4142135623730950488016887242096981,1+sqrt(2),2.4142135623730950488016887242096981,PROVED,,,,"first 8786796 terms: min -3.40824349267 (n=6791935), max 2.414213562373 (n=1)",True,58
A284946,"0->01, 1->1110; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",1,a(n) = position of n-th 1 in A284944 (1-based),"-1 < n*r - a(n) < 3, R = 2 + sqrt(2)",sqrt(2),0.585786437627,-2+sqrt(2),-0.58578643762690495119831127579030192,1+sqrt(2),2.4142135623730950488016887242096981,PROVED,stated multiplier 2 + sqrt(2) ~ 3.41421356237 is not the density ratio r = sqrt(2) ~ 1.41421356; literal statement first fails at n=2 (value 3.8284271247),,,"first 21213204 terms: min -0.58578643762 (n=1), max 2.411740678537 (n=16397185)",True,66
A285032,"0->10, 1->001; start 0, K=8 (limit word = fixed point of sigma^2 from letter 0)",0,a(n) = position of n-th 0 in A285031 (1-based),"-1 < n*r - a(n) < 2, R = 1 + sqrt(1/2)",1+1/2*sqrt(2),-0.414213562373,-1+1/4*sqrt(2),-0.64644660940672623779957781894757548,1/2+3/4*sqrt(2),1.5606601717798212866012665431572736,PROVED,,,,"first 17573593 terms: min -0.64644651049 (n=15190668), max 1.560660152912 (n=4684661)",True,64
A285033,"0->10, 1->001; start 0, K=8 (limit word = fixed point of sigma^2 from letter 0)",1,a(n) = position of n-th 1 in A285031 (1-based),"-1 < n*r - a(n) < 2, R = 1 + sqrt(2)",1+sqrt(2),-0.414213562373,-3/2+1/2*sqrt(2),-0.79289321881345247559915563789515096,1/2+sqrt(2),1.9142135623730950488016887242096981,PROVED,,,,"first 12426407 terms: min -0.79289319213 (n=3312555), max 1.914213422484 (n=10741425)",True,61
A285035,"0->10, 1->001; start 0, K=9 (limit word = fixed point of sigma^2 from letter 1)",0,a(n) = position of n-th 0 in A285034 (1-based),"-1 < n*r - a(n) < 2, R = 1 + sqrt(1/2)",1+1/2*sqrt(2),-0.414213562373,-1+1/4*sqrt(2),-0.64644660940672623779957781894757548,1/2+3/4*sqrt(2),1.5606601717798212866012665431572736,PROVED,,,,"first 17573593 terms: min -0.64644660159 (n=11309769), max 1.560659932975 (n=6292182)",True,64
A285036,"0->10, 1->001; start 0, K=9 (limit word = fixed point of sigma^2 from letter 1)",1,a(n) = position of n-th 1 in A285034 (1-based),"-1 < n*r - a(n) < 2, R = 1 + sqrt(2)",1+sqrt(2),-0.414213562373,-3/2+1/2*sqrt(2),-0.79289321881345247559915563789515096,1/2+sqrt(2),1.9142135623730950488016887242096981,PROVED,,,,"first 12426407 terms: min -0.79289288109 (n=4449244), max 1.914213551320 (n=7997215)",True,60
A285074,"0->10, 1->010; start 0, K=14 (limit word = fixed point of sigma^2 from letter 0)",0,a(n) = position of n-th 0 in A285073 (1-based),"-1 < n*r - a(n) < 1, R = 1 + sqrt(1/2)",1+1/2*sqrt(2),-0.414213562373,-1+1/2*sqrt(2),-0.29289321881345247559915563789515096,1/2*sqrt(2),0.70710678118654752440084436210484904,PROVED,,,Entry contains a proof (Dekking).,"first 17573593 terms: min -0.29289316544 (n=13250219), max 0.707106781186 (n=1)",True,64
A285075,"0->10, 1->010; start 0, K=14 (limit word = fixed point of sigma^2 from letter 0)",1,a(n) = position of n-th 1 in A285073 (1-based),"-1 + sqrt(2) < n*r - a(n) < sqrt(2), R = 1 + sqrt(2)",1+sqrt(2),-0.414213562373,-1+sqrt(2),0.41421356237309504880168872420969808,sqrt(2),1.4142135623730950488016887242096981,"FALSE only at n=1 by equality (D(1) = bound exactly); strict inequality holds for all n>=2 (inf/sup equal the bounds, attained only at n=1)",,,"Entry contains a ""proof""; it overlooks n=1 (equality).","first 12426407 terms: min 0.414213562373 (n=1), max 1.414213486902 (n=9369320); brute-force first violation: no violation up to position 12 (n=5)",True,61
A285077,"0->10, 1->010; start 0, K=13 (limit word = fixed point of sigma^2 from letter 1)",0,a(n) = position of n-th 0 in A285076 (1-based),"-1 < n*r - a(n) < 1, R = 1 + sqrt(1/2)",1+1/2*sqrt(2),-0.414213562373,-1+1/2*sqrt(2),-0.29289321881345247559915563789515096,1/2*sqrt(2),0.70710678118654752440084436210484904,PROVED,,,Entry: provable as A285074 (Dekking).,"first 17573593 terms: min -0.29289321881 (n=1), max 0.707106743451 (n=9369320)",True,64
A285078,"0->10, 1->010; start 0, K=13 (limit word = fixed point of sigma^2 from letter 1)",1,a(n) = position of n-th 1 in A285076 (1-based),"-1 + sqrt(2) < n*r - a(n) < sqrt(2), R = 1 + sqrt(2)",1+sqrt(2),-0.414213562373,-1+sqrt(2),0.41421356237309504880168872420969808,sqrt(2),1.4142135623730950488016887242096981,"FALSE only at n=1 by equality (D(1) = bound exactly); strict inequality holds for all n>=2 (inf/sup equal the bounds, attained only at n=1)",,,Entry (Dekking): provable for n>=2.,"first 12426407 terms: min 0.414213615738 (n=6625110), max 1.414213562373 (n=1); brute-force first violation: FIRST VIOLATION n=1 a(n)=1 D=1.414213562373095048801688724210",True,61
A285081,"0->10, 1->011; start 0, K=14 (limit word = fixed point of sigma^2 from letter 0)",0,a(n) = position of n-th 0 in A285080 (1-based),"0 < n*r - a(n) < r, R = (3+sqrt(5))/2",3/2+1/2*sqrt(5),0.38196601125,0,0.0,3/2+1/2*sqrt(5),2.6180339887498948482045868343656381,"BOUNDARY (holds; inf = lower bound, sup = upper bound, never attained)",,,,"first 11458981 terms: min 0.000000048465 (n=9227465), max 2.618033783446 (n=2178310)",True,60
A285082,"0->10, 1->011; start 0, K=14 (limit word = fixed point of sigma^2 from letter 0)",1,a(n) = position of n-th 1 in A285080 (1-based),"-1 < n*r - a(n) < 1, R = (1+sqrt(5))/2",1/2+1/2*sqrt(5),0.38196601125,-1,-1.0,1,1.0,"BOUNDARY (holds; inf = lower bound, sup = upper bound, never attained)",,,,"first 18541019 terms: min -0.99999987311 (n=3524578), max 0.999999970046 (n=14930352)",True,65
A285084,"0->10, 1->011; start 0, K=13 (limit word = fixed point of sigma^2 from letter 1)",0,a(n) = position of n-th 0 in A285083 (1-based),"0 < n*r - a(n) < r, R = (3+sqrt(5))/2",3/2+1/2*sqrt(5),0.38196601125,0,0.0,3/2+1/2*sqrt(5),2.6180339887498948482045868343656381,"BOUNDARY (holds; inf = lower bound, sup = upper bound, never attained)",,,,"first 11458981 terms: min 0.000000126884 (n=3524578), max 2.618033910331 (n=5702888)",True,60
A285085,"0->10, 1->011; start 0, K=13 (limit word = fixed point of sigma^2 from letter 1)",1,a(n) = position of n-th 1 in A285083 (1-based),"-1 < n*r - a(n) < 1, R = (1+sqrt(5))/2",1/2+1/2*sqrt(5),0.38196601125,-1,-1.0,1,1.0,"BOUNDARY (holds; inf = lower bound, sup = upper bound, never attained)",,,,"first 18541019 terms: min -0.99999995153 (n=9227465), max 0.999999921581 (n=5702887)",True,65
A285126,"0->10, 1->0000; start 0, K=14 (limit word = fixed point of sigma^2 from letter 0)",0,a(n) = position of n-th 0 in A285125 (1-based),"0 < n*r - a(n) < 1, R = 1.3903",7/8+1/8*sqrt(17),-1.56155281281,-inf,-infinity (non-Pisot),+inf,+infinity (non-Pisot),NON-PISOT (unbounded) -> FALSE: smallest violating n=3,,"n=3, a(n)=3, n*r - a(n) = -3/8+3/8*sqrt(17) = 1.171164609606622706183029 (bounds 0 , 1)",r stated only as decimal 1.3903...; exact r used,"first 21579254 terms: min 0.390388203202 (n=1), max 3671.164745750 (n=21565857); brute-force first violation: FIRST VIOLATION n=3 a(n)=3 D=1.171164609606622706183028695990",True,67
A285127,"0->10, 1->0000; start 0, K=14 (limit word = fixed point of sigma^2 from letter 0)",1,a(n) = position of n-th 1 in A285125 (1-based),"-3 < n*r - a(n) < 0, R = 3.5621",3/2+1/2*sqrt(17),-1.56155281281,-inf,-infinity (non-Pisot),+inf,+infinity (non-Pisot),NON-PISOT (unbounded) -> FALSE: smallest violating n=2,stated multiplier 3.5621 ~ 3.5621 is not the density ratio r = 3/2+1/2*sqrt(17) ~ 3.56155281; literal statement first fails at n=2 (value -3.8758),"n=2, a(n)=11, n*r - a(n) = -8+sqrt(17) = -3.87689437438233945017859 (bounds -3 , 0)",r stated only as decimal 3.5621...; exact r used,"first 8420746 terms: min -9401.32082794 (n=8415386), max -1.43844718719 (n=1); brute-force first violation: FIRST VIOLATION n=2 a(n)=11 D=-3.876894374382339450178590144026",True,56
A285129,"0->10, 1->0000; start 0, K=13 (limit word = fixed point of sigma^2 from letter 1)",0,a(n) = position of n-th 0 in A285128 (1-based),"-1 < n*r - a(n) < 1, R = 1.3903",7/8+1/8*sqrt(17),-1.56155281281,-inf,-infinity (non-Pisot),+inf,+infinity (non-Pisot),NON-PISOT (unbounded) -> FALSE: smallest violating n=2,,"n=2, a(n)=4, n*r - a(n) = -9/4+1/4*sqrt(17) = -1.219223593595584862544648 (bounds -1 , 1)",r stated only as decimal 1.3903...; exact r used,"first 21574459 terms: min -3874.59853384 (n=19350076), max -0.60961179679 (n=1); brute-force first violation: FIRST VIOLATION n=2 a(n)=4 D=-1.219223593595584862544647536006",True,66
A285130,"0->10, 1->0000; start 0, K=13 (limit word = fixed point of sigma^2 from letter 1)",1,a(n) = position of n-th 1 in A285128 (1-based),"-1 < n*r - a(n) < 3, R = 3.5621",3/2+1/2*sqrt(17),-1.56155281281,-inf,-infinity (non-Pisot),+inf,+infinity (non-Pisot),NON-PISOT (unbounded) -> FALSE: smallest violating n=2,stated multiplier 3.5621 ~ 3.5621 is not the density ratio r = 3/2+1/2*sqrt(17) ~ 3.56155281; literal statement first fails at n=2 (value 4.1242),"n=2, a(n)=3, n*r - a(n) = sqrt(17) = 4.12310562561766054982141 (bounds -1 , 3)",r stated only as decimal 3.5621...; exact r used,"first 8425541 terms: min 2.561552812808 (n=1), max 9925.988772863 (n=7557916); brute-force first violation: FIRST VIOLATION n=2 a(n)=3 D=4.123105625617660549821409855974",True,59
A285134,"0->10, 1->0001; start 0, K=12 (limit word = fixed point of sigma^2 from letter 0)",0,a(n) = position of n-th 0 in A285133 (1-based),"-1 < n*r - a(n) < 1, R = 1 + sqrt(1/3)",1+1/3*sqrt(3),-0.732050807569,-5/3-1/3*sqrt(3),-2.2440169358562924311758154471686241,4/3+sqrt(3),3.0653841409022106268607796748392057,FALSE: smallest violating n=2,,"n=2, a(n)=2, n*r - a(n) = 2/3*sqrt(3) = 1.154700538379251529018298 (bounds -1 , 1)",,"first 19019238 terms: min -2.21984530882 (n=18523391), max 3.056314328137 (n=11124739); brute-force first violation: FIRST VIOLATION n=2 a(n)=2 D=1.154700538379251529018297561004",True,66
A285135,"0->10, 1->0001; start 0, K=12 (limit word = fixed point of sigma^2 from letter 0)",1,a(n) = position of n-th 1 in A285133 (1-based),"-1 < n*r - a(n) < 1, R = 1 + sqrt(3)",1+sqrt(3),-0.732050807569,-3-1/3*sqrt(3),-3.5773502691896257645091487805019575,2+5/3*sqrt(3),4.8867513459481288225457439025097873,FALSE: smallest violating n=1,,"n=1, a(n)=4, n*r - a(n) = -3+sqrt(3) = -1.267949192431122706472554 (bounds -1 , 1)",,"first 10980762 terms: min -3.56164089266 (n=6422869), max 4.844884859820 (n=10694487); brute-force first violation: FIRST VIOLATION n=1 a(n)=4 D=-1.267949192431122706472553658494",True,59
A285137,"0->10, 1->0001; start 0, K=11 (limit word = fixed point of sigma^2 from letter 1)",0,a(n) = position of n-th 0 in A285136 (1-based),"-1 < n*r - a(n) < 1, R = 1 + sqrt(1/3)",1+1/3*sqrt(3),-0.732050807569,-5/3-1/3*sqrt(3),-2.2440169358562924311758154471686241,4/3+sqrt(3),3.0653841409022106268607796748392057,FALSE: smallest violating n=3,,"n=3, a(n)=6, n*r - a(n) = -3+sqrt(3) = -1.267949192431122706472554 (bounds -1 , 1)",,"first 19019238 terms: min -2.23450235665 (n=17232639), max 3.041657280303 (n=9833987); brute-force first violation: FIRST VIOLATION n=3 a(n)=6 D=-1.267949192431122706472553658494",True,65
A285138,"0->10, 1->0001; start 0, K=11 (limit word = fixed point of sigma^2 from letter 1)",1,a(n) = position of n-th 1 in A285136 (1-based),"-1 < n*r - a(n) < sqrt(3), R = 1 + sqrt(3)",1+sqrt(3),-0.732050807569,-3-1/3*sqrt(3),-3.5773502691896257645091487805019575,2+5/3*sqrt(3),4.8867513459481288225457439025097873,FALSE: D(1) equals a bound (non-strict); first strict violation n=2,,"n=1: D = sqrt(3) (equality); n=2, a(n)=3, n*r - a(n) = -1+2*sqrt(3) = 2.464101615137754587054893 (bounds -1 , sqrt(3))",,"first 10980762 terms: min -3.53625414112 (n=5677653), max 4.870271611359 (n=9949271); brute-force first violation: FIRST VIOLATION n=1 a(n)=1 D=1.732050807568877293527446341506",True,60
A285140,"0->10, 1->0010; start 0, K=12 (limit word = fixed point of sigma^2 from letter 0)",0,a(n) = position of n-th 0 in A285139 (1-based),"-1 < n*r - a(n) < 1, R = (3 + sqrt(3))/3",1+1/3*sqrt(3),-0.732050807569,-4/3,-1.3333333333333333333333333333333333,2/3+2/3*sqrt(3),1.8213672050459181956849642276705816,FALSE: smallest violating n=2,,"n=2, a(n)=2, n*r - a(n) = 2/3*sqrt(3) = 1.154700538379251529018298 (bounds -1 , 1)",,"first 19019238 terms: min -1.31928384774 (n=11670272), max 1.816832298663 (n=5562370); brute-force first violation: FIRST VIOLATION n=2 a(n)=2 D=1.154700538379251529018297561004",True,65
A285141,"0->10, 1->0010; start 0, K=12 (limit word = fixed point of sigma^2 from letter 0)",1,a(n) = position of n-th 1 in A285139 (1-based),"-1 < n*r - a(n) < 1, R = 1 + sqrt(3)",1+sqrt(3),-0.732050807569,-2+1/3*sqrt(3),-1.4226497308103742354908512194980425,1+4/3*sqrt(3),3.3094010767585030580365951220078298,FALSE: smallest violating n=6,,"n=6, a(n)=15, n*r - a(n) = -9+6*sqrt(3) = 1.392304845413263761164678 (bounds -1 , 1)",,"first 10980762 terms: min -1.41479504254 (n=3211435), max 3.285066653907 (n=6737836); brute-force first violation: FIRST VIOLATION n=6 a(n)=15 D=1.392304845413263761164678049035",True,59
A285143,"0->10, 1->0010; start 0, K=11 (limit word = fixed point of sigma^2 from letter 1)",0,a(n) = position of n-th 0 in A285142 (1-based),"-1 < n*r - a(n) < 1, R = (3 + sqrt(3))/3",1+1/3*sqrt(3),-0.732050807569,-4/3,-1.3333333333333333333333333333333333,2/3+2/3*sqrt(3),1.8213672050459181956849642276705816,FALSE: smallest violating n=12,,"n=12, a(n)=20, n*r - a(n) = -8+4*sqrt(3) = -1.071796769724490825890215 (bounds -1 , 1)",,"first 19019238 terms: min -1.33001355145 (n=15196672), max 1.806102594959 (n=9088770); brute-force first violation: FIRST VIOLATION n=12 a(n)=20 D=-1.071796769724490825890214633977",True,65
A285144,"0->10, 1->0010; start 0, K=11 (limit word = fixed point of sigma^2 from letter 1)",1,a(n) = position of n-th 1 in A285142 (1-based),"-1 < n*r - a(n) < sqrt(3), R = 1 + sqrt(3)",1+sqrt(3),-0.732050807569,-2+1/3*sqrt(3),-1.4226497308103742354908512194980425,1+4/3*sqrt(3),3.3094010767585030580365951220078298,FALSE: D(1) equals a bound (non-strict); first strict violation n=2,,"n=1: D = sqrt(3) (equality); n=2, a(n)=3, n*r - a(n) = -1+2*sqrt(3) = 2.464101615137754587054893 (bounds -1 , sqrt(3))",,"first 10980762 terms: min -1.39621065058 (n=5247403), max 3.303651045873 (n=8773804); brute-force first violation: FIRST VIOLATION n=1 a(n)=1 D=1.732050807568877293527446341506",True,60
A285206,"0->10, 1->0100; start 0, K=12 (limit word = fixed point of sigma^2 from letter 0)",0,a(n) = position of n-th 0 in A285205 (1-based),"-1 < n*r - a(n) < 1, R = 1 + sqrt(1/3)",1+1/3*sqrt(3),-0.732050807569,-2/3,-0.66666666666666666666666666666666667,1/3+1/3*sqrt(3),0.91068360252295909784248211383529079,PROVED,,,,"first 19019238 terms: min -0.66107943159 (n=12415488), max 0.908416149331 (n=2781185)",True,65
A285207,"0->10, 1->0100; start 0, K=12 (limit word = fixed point of sigma^2 from letter 0)",1,a(n) = position of n-th 1 in A285205 (1-based),"0 < n*r - a(n) < 3, R = 1 + sqrt(3)",1+sqrt(3),-0.732050807569,-1+2/3*sqrt(3),0.15470053837925152901829756100391491,1+2/3*sqrt(3),2.1547005383792515290182975610039149,PROVED,,,,"first 10980762 terms: min 0.158627882510 (n=1605718), max 2.145023163363 (n=7168086)",True,59
A285209,"0->10, 1->0100; start 0, K=11 (limit word = fixed point of sigma^2 from letter 1)",0,a(n) = position of n-th 0 in A285208 (1-based),"-1 < n*r - a(n) < 1, R = 1 + sqrt(1/3)",1+1/3*sqrt(3),-0.732050807569,-2/3,-0.66666666666666666666666666666666667,1/3+1/3*sqrt(3),0.91068360252295909784248211383529079,PROVED,,,,"first 19019238 terms: min -0.66500677572 (n=7598336), max 0.905541133889 (n=15941889)",True,65
A285210,"0->10, 1->0100; start 0, K=11 (limit word = fixed point of sigma^2 from letter 1)",1,a(n) = position of n-th 1 in A285208 (1-based),"0 < n*r - a(n) < 3, R = 1 + sqrt(3)",1+sqrt(3),-0.732050807569,-1+2/3*sqrt(3),0.15470053837925152901829756100391491,1+2/3*sqrt(3),2.1547005383792515290182975610039149,PROVED,,,,"first 10980762 terms: min 0.163607555329 (n=9204054), max 2.151825522936 (n=4386902)",True,60
A285275,"0->10, 1->0111; start 0, K=10 (limit word = fixed point of sigma^2 from letter 0)",0,a(n) = position of n-th 0 in A285274 (1-based),"0 < n*r - a(n) < 6, R = 2+sqrt(2)",2+sqrt(2),0.585786437627,0,0.0,3+2*sqrt(2),5.8284271247461900976033774484193962,"BOUNDARY (holds; inf = lower bound, never attained)",,,,"first 8786797 terms: min 0.001352465078 (n=4283008), max 5.826514450289 (n=6057090)",True,58
A285276,"0->10, 1->0111; start 0, K=10 (limit word = fixed point of sigma^2 from letter 0)",1,a(n) = position of n-th 1 in A285274 (1-based),"-2 < n*sqrt(2) - a(n) < 1, R = sqrt(2)",sqrt(2),0.585786437627,-2,-2.0,1,1.0,"BOUNDARY (holds; inf = lower bound, sup = upper bound, never attained)",,,,"first 21213203 terms: min -1.99920774429 (n=14623104), max 0.999439790621 (n=10340096)",True,66
A285278,"0->10, 1->0111; start 0, K=9 (limit word = fixed point of sigma^2 from letter 1)",0,a(n) = position of n-th 0 in A285277 (1-based),"0 < n*r - a(n) < 6, R = 2+sqrt(2)",2+sqrt(2),0.585786437627,0,0.0,3+2*sqrt(2),5.8284271247461900976033774484193962,"BOUNDARY (holds; inf = lower bound, never attained)",,,,"first 8786797 terms: min 0.002308802307 (n=1254464), max 5.825161985210 (n=1774082)",True,58
A285279,"0->10, 1->0111; start 0, K=9 (limit word = fixed point of sigma^2 from letter 1)",1,a(n) = position of n-th 1 in A285277 (1-based),"0 < n*r - a(n) < 6, R = 2+sqrt(2)",sqrt(2),0.585786437627,-2,-2.0,1,1.0,FALSE: smallest violating n=2,stated multiplier 2+sqrt(2) ~ 3.41421356237 is not the density ratio r = sqrt(2) ~ 1.41421356; literal statement first fails at n=4 (value 7.6568542494),"n=2, a(n)=4, n*r - a(n) = -4+2*sqrt(2) = -1.171572875253809902396623 (bounds 0 , 6)",,"first 21213203 terms: min -1.99864753492 (n=4283008), max 0.999043662771 (n=3028544); brute-force first violation: FIRST VIOLATION n=2 a(n)=4 D=-1.171572875253809902396622551581",True,66
A285302,"0->10, 1->1000; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",0,a(n) = position of n-th 0 in A285301 (1-based),"-2 < n*r - a(n) < 2, R = 1 + sqrt(1/3)",1+1/3*sqrt(3),-0.732050807569,-1-1/3*sqrt(3),-1.5773502691896257645091487805019575,1+1/3*sqrt(3),1.5773502691896257645091487805019575,PROVED,,,,"first 19019238 terms: min -1.56949558092 (n=9634303), max 1.566620565485 (n=3526401)",True,65
A285342,"0->10, 1->1011; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",0,a(n) = position of n-th 0 in A285341 (1-based),"0 < n*r - a(n) < 4, R = 2 + sqrt(2)",2+sqrt(2),0.585786437627,0,0.0,2+sqrt(2),3.4142135623730950488016887242096981,"BOUNDARY (holds; inf = lower bound, never attained)",,,,"first 8786797 terms: min 0.001352465078 (n=4283008), max 3.412300887916 (n=6057089)",True,58
A285343,"0->10, 1->1011; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",1,a(n) = position of n-th 1 in A285341 (1-based),"-1 < n*sqrt(2) - a(n) < 1, R = sqrt(2)",sqrt(2),0.585786437627,-1,-1.0,1,1.0,"BOUNDARY (holds; inf = lower bound, sup = upper bound, never attained)",,,,"first 21213203 terms: min -0.99920774429 (n=14623104), max 0.999439790621 (n=10340096)",True,66
A285359,"0->10, 1->1101; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",0,a(n) = position of n-th 0 in A285358 (1-based),"-1 < n*r - a(n) < 1, R = 2 + sqrt(2)",2+sqrt(2),0.585786437627,-1,-1.0,1,1.0,"BOUNDARY (holds; inf = lower bound, sup = upper bound, never attained)",,,,"first 8786796 terms: min -0.99864753492 (n=4283008), max 0.999043662771 (n=3028544)",True,58
A285360,"0->10, 1->1101; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",1,a(n) = position of n-th 1 in A285358 (1-based),"0 < n*sqrt(2) - a(n) < 2, R = sqrt(2)",sqrt(2),0.585786437627,0,0.0,sqrt(2),1.4142135623730950488016887242096981,"BOUNDARY (holds; inf = lower bound, never attained)",,,,"first 21213204 terms: min 0.000396127850 (n=7311552), max 1.413653352994 (n=10340097)",True,66
A285374,"0->10, 1->1110; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",0,a(n) = position of n-th 0 in A285373 (1-based),"-4 < n*sqrt(2) - a(n) < 1, R = sqrt(2)",2+sqrt(2),0.585786437627,-2-sqrt(2),-3.4142135623730950488016887242096981,0,0.0,PROVED,stated multiplier sqrt(2) ~ 1.41421356237 is not the density ratio r = 2+sqrt(2) ~ 3.41421356; literal statement first fails at n=2 (value -5.171572875),,,"first 8786796 terms: min -3.41150863221 (n=8566015), max -0.00095633722 (n=3028544)",True,58
A285375,"0->10, 1->1110; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",1,a(n) = position of n-th 1 in A285373 (1-based),"0 < n*sqrt(2) - a(n) < 3, R = sqrt(2)",sqrt(2),0.585786437627,-1+sqrt(2),0.41421356237309504880168872420969808,1+sqrt(2),2.4142135623730950488016887242096981,PROVED,,,,"first 21213204 terms: min 0.414213562373 (n=1), max 2.413093143616 (n=20680193)",True,66
A285419,"0->11, 1->011; start 0, K=10 (limit word = fixed point of sigma^2 from letter 0)",0,a(n) = position of n-th 0 in A285418 (1-based),"-1 < n*r - a(n) < 5, R = 2 + sqrt(3)",2+sqrt(3),-0.732050807569,-1+1/3*sqrt(3),-0.42264973081037423549085121949804254,2+4/3*sqrt(3),4.3094010767585030580365951220078298,PROVED,,,,"first 8038476 terms: min -0.39621065058 (n=5247403), max 4.298671373054 (n=1175468)",True,58
A285420,"0->11, 1->011; start 0, K=10 (limit word = fixed point of sigma^2 from letter 0)",1,a(n) = position of n-th 1 in A285418 (1-based),"-2 < n*r - a(n) < 2, R = (1 + sqrt(3))/2",1/2+1/2*sqrt(3),-0.732050807569,-3/2+1/6*sqrt(3),-1.2113248654051871177454256097490213,2/3*sqrt(3),1.1547005383792515290182975610039149,PROVED,,,,"first 21961524 terms: min -1.20739752127 (n=3211435), max 1.145023163363 (n=14336172)",True,66
A285422,"0->11, 1->011; start 0, K=11 (limit word = fixed point of sigma^2 from letter 1)",0,a(n) = position of n-th 0 in A285421 (1-based),"-1 < n*r - a(n) < 5, R = 2 + sqrt(3)",2+sqrt(3),-0.732050807569,-1+1/3*sqrt(3),-0.42264973081037423549085121949804254,2+4/3*sqrt(3),4.3094010767585030580365951220078298,PROVED,,,,"first 8038476 terms: min -0.41479504254 (n=3211435), max 4.285066653907 (n=6737836)",True,57
A285423,"0->11, 1->011; start 0, K=11 (limit word = fixed point of sigma^2 from letter 1)",1,a(n) = position of n-th 1 in A285421 (1-based),"-2 < n*r - a(n) < 2, R = (1 + sqrt(3))2",1/2+1/2*sqrt(3),-0.732050807569,-3/2+1/6*sqrt(3),-1.2113248654051871177454256097490213,2/3*sqrt(3),1.1547005383792515290182975610039149,PROVED,"literal ""r = (1 + sqrt(3))2"" is malformed (missing ""/""); read as 2*(1+sqrt(3)) it fails at n=1 (D = 4.46)",,"Stated r = ""(1 + sqrt(3))2"" is a typo; read as (1 + sqrt(3))/2","first 21961524 terms: min -1.20241784845 (n=18408107), max 1.151825522936 (n=8773804)",True,66
A285669,"0->11, 1->1101; start 0, K=9 (limit word = fixed point of sigma^1 from letter 1)",0,a(n) = position of n-th 0 in A285668 (1-based),"-1 < n*r - a(n) < 4, R = (5 + sqrt(17))/2",5/2+1/2*sqrt(17),-0.561552812809,-7/16+1/16*sqrt(17),-0.17980589839889621563616188400162019,29/16+5/16*sqrt(17),3.1009705080055189218191905799918991,PROVED,,,Entry proves only boundedness (weak form).,"first 6576708 terms: min -0.17809361547 (n=1885573), max 3.099456794248 (n=3117349)",True,56
A285670,"0->11, 1->1101; start 0, K=9 (limit word = fixed point of sigma^1 from letter 1)",1,a(n) = position of n-th 1 in A285668 (1-based),"-1 < n*r - a(n) < 4, R = (1 + sqrt(17))/4",1/4+1/4*sqrt(17),-0.561552812809,-23/32+1/32*sqrt(17),-0.58990294919944810781808094200081009,13/32+5/32*sqrt(17),1.0504852540027594609095952899959495,PROVED,,,,"first 23423292 terms: min -0.58947793409 (n=11102601), max 1.050004485355 (n=6715568)",True,66
